model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
LLaMA,10,Equip,3,0,0,0.66,0.733,0.66,0.632,0.0014,0.002439
LLaMA,10,Fact0,5,0,0,0.69,0.784,0.69,0.658,0.0034,0.007045
LLaMA,10,Fact0,2,0,0,0.65,0.638,0.65,0.608,0.016,0.029605
LLaMA,10,Fact0,1,0,0,0.62,0.584,0.62,0.577,0.0066,0.018836
LLaMA,10,Fact0,4,0,0,0.62,0.714,0.62,0.572,0.0026,0.008307
LLaMA,10,Fact0,3,0,0,0.61,0.604,0.61,0.556,0.0044,0.015724
LLaMA,10,Fact1,3,0,0,0.63,0.606,0.63,0.578,0.0086,0.022454
LLaMA,10,Fact1,4,0,0,0.58,0.555,0.58,0.526,0.0086,0.02058
LLaMA,10,Fact1,5,0,0,0.55,0.558,0.55,0.477,0.004,0.01069
LLaMA,10,Fact1,1,0,0,0.53,0.571,0.53,0.471,0.0066,0.010583
LLaMA,10,Fact1,2,0,0,0.52,0.564,0.52,0.463,0.0016,0.003105
LLaMA,10,Fact2,5,0,0,0.71,0.763,0.71,0.684,0.0114,0.017099
LLaMA,10,Fact2,3,0,0,0.63,0.649,0.63,0.594,0.0106,0.01881
LLaMA,10,Fact2,4,0,0,0.63,0.665,0.63,0.603,0.0026,0.005226
LLaMA,10,Fact2,1,0,0,0.61,0.591,0.61,0.571,0.0064,0.017055
LLaMA,10,Fact2,2,0,0,0.58,0.593,0.58,0.532,0.0086,0.016099
LLaMA,10,Fact_i,3,0,0,0.66,0.722,0.66,0.639,0.0014,0.001044
LLaMA,10,Fact_i,4,0,0,0.66,0.725,0.66,0.633,0.0014,0.002452
LLaMA,10,Fact_i,2,0,0,0.62,0.625,0.62,0.578,0.0106,0.020863
LLaMA,10,Fact_i,1,0,0,0.58,0.562,0.58,0.54,0.0126,0.022768
LLaMA,10,Fin,4,0,0,0.58,0.581,0.58,0.511,0.0066,0.018223
