model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
Mistral,6,Contr,1,0,1,0.53,0.614,0.53,0.468,0.0026,0.001527
Mistral,6,Conv-ij,2,0,1,0.7,0.763,0.7,0.671,0.007,0.01558
Mistral,6,Conv-ij,3,0,1,0.65,0.722,0.65,0.615,0.003,0.008876
Mistral,6,Conv-ij,1,0,1,0.59,0.575,0.59,0.522,0.0074,0.017778
Mistral,6,Dérivation_adjectivale,1,0,1,0.65,0.795,0.65,0.598,0.002,0.004296
Mistral,6,Dérivation_adverbiale,1,0,1,0.76,0.845,0.76,0.731,0.0124,0.023514
Mistral,6,Dérivation_nominale,1,0,1,0.53,0.565,0.53,0.485,0.0026,0.006051
Mistral,6,Dérivation_verbale,1,0,1,0.7,0.8,0.7,0.665,0.006,0.013415
Mistral,6,Epit,1,0,1,0.6,0.621,0.6,0.537,0.003,0.011786
Mistral,6,Epit,2,0,1,0.55,0.697,0.55,0.456,0.0,0.000635
Mistral,6,Epit,3,0,1,0.5,0.444,0.5,0.422,0.001,0.004682
Mistral,6,Equip,2,0,1,0.61,0.664,0.61,0.536,0.0044,0.013527
Mistral,6,Equip,1,0,1,0.54,0.594,0.54,0.436,0.0004,0.003156
Mistral,6,Equip,3,0,1,0.52,0.398,0.52,0.405,0.0026,0.010029
Mistral,6,Fact0,1,0,1,0.57,0.586,0.57,0.493,0.0026,0.010967
Mistral,6,Fact0,4,0,1,0.57,0.56,0.57,0.499,0.0026,0.00956
Mistral,6,Fact0,3,0,1,0.53,0.501,0.53,0.438,0.0016,0.006115
Mistral,6,Fact0,5,0,1,0.53,0.509,0.53,0.44,0.0006,0.003859
Mistral,6,Fact0,2,0,1,0.52,0.489,0.52,0.423,0.0006,0.003388
Mistral,6,Fact1,5,0,1,0.47,0.342,0.47,0.348,0.0006,0.00214
Mistral,6,Fact1,2,0,1,0.46,0.413,0.46,0.405,0.0014,0.003011
Mistral,6,Fact1,3,0,1,0.45,0.379,0.45,0.358,0.004,0.001584
Mistral,6,Fact1,4,0,1,0.45,0.366,0.45,0.367,0.001,0.00081
Mistral,6,Fact1,1,0,1,0.44,0.326,0.44,0.339,0.0034,0.001245
Mistral,6,Fact2,5,0,1,0.57,0.538,0.57,0.491,0.0076,0.01935
Mistral,6,Fact2,4,0,1,0.56,0.523,0.56,0.482,0.0054,0.016109
Mistral,6,Fact2,1,0,1,0.55,0.607,0.55,0.499,0.001,0.003051
Mistral,6,Fact2,2,0,1,0.53,0.503,0.53,0.456,0.0006,0.004223
Mistral,6,Fact2,3,0,1,0.51,0.389,0.51,0.407,0.0034,0.012085
Mistral,6,Fact_i,4,0,1,0.59,0.651,0.59,0.509,0.0024,0.008486
Mistral,6,Fact_i,2,0,1,0.58,0.634,0.58,0.491,0.0046,0.01488
Mistral,6,Fact_i,3,0,1,0.5,0.45,0.5,0.39,0.0,0.000816
Mistral,6,Fact_i,1,0,1,0.46,0.239,0.46,0.315,0.0004,8.5e-05
Mistral,6,Fin,2,0,1,0.56,0.52,0.56,0.506,0.0034,0.011509
Mistral,6,Fin,3,0,1,0.53,0.578,0.53,0.496,0.0046,0.002477
Mistral,6,Fin,4,0,1,0.51,0.47,0.51,0.44,0.0004,0.00388
Mistral,6,Fin,1,0,1,0.44,0.474,0.44,0.402,0.0034,0.000425
Mistral,6,Func0,3,0,1,0.73,0.732,0.73,0.687,0.0156,0.034545
Mistral,6,Func0,2,0,1,0.71,0.803,0.71,0.673,0.0094,0.019268
Mistral,6,Func0,1,0,1,0.61,0.639,0.61,0.545,0.0034,0.011603
Mistral,6,Func0,4,0,1,0.56,0.567,0.56,0.448,0.0024,0.008707
Mistral,6,Func2,4,0,1,0.49,0.439,0.49,0.43,0.0004,0.002532
Mistral,6,Func2,1,0,1,0.45,0.391,0.45,0.399,0.001,0.001607
Mistral,6,Func2,2,0,1,0.45,0.335,0.45,0.346,0.002,0.000988
Mistral,6,Func2,3,0,1,0.35,0.202,0.35,0.256,0.009,0.002629
Mistral,6,Func_i,1,0,1,0.65,0.633,0.65,0.604,0.007,0.020186
Mistral,6,Func_i,2,0,1,0.56,0.666,0.56,0.45,0.0014,0.004983
Mistral,6,Func_i,3,0,1,0.55,0.464,0.55,0.425,0.004,0.013199
Mistral,6,Gener,1,0,1,0.54,0.545,0.54,0.456,0.0014,0.004324
Mistral,6,Gener,2,0,1,0.53,0.49,0.53,0.435,0.0036,0.009963
Mistral,6,Gener,3,0,1,0.48,0.378,0.48,0.365,0.0006,0.001444
Mistral,6,Groupe,2,0,1,0.68,0.708,0.68,0.628,0.0086,0.02252
Mistral,6,Groupe,1,0,1,0.65,0.797,0.65,0.59,0.007,0.01473
Mistral,6,Incep,1,0,1,0.79,0.836,0.79,0.774,0.0094,0.015974
Mistral,6,Incep,4,0,1,0.58,0.629,0.58,0.496,0.0026,0.010418
Mistral,6,Incep,3,0,1,0.57,0.56,0.57,0.499,0.0026,0.00956
Mistral,6,Incep,2,0,1,0.56,0.618,0.56,0.465,0.0014,0.007453
Mistral,6,Instr,2,0,1,0.79,0.853,0.79,0.77,0.0114,0.018158
Mistral,6,Instr,1,0,1,0.73,0.775,0.73,0.707,0.0096,0.019862
Mistral,6,Labreal12,3,0,1,0.71,0.819,0.71,0.674,0.0064,0.01417
Mistral,6,Labreal12,2,0,1,0.69,0.714,0.69,0.639,0.0114,0.027194
Mistral,6,Labreal12,1,0,1,0.64,0.693,0.64,0.575,0.0054,0.015589
Mistral,6,Labreal12,4,0,1,0.61,0.782,0.61,0.535,0.0024,0.005708
Mistral,6,Liqu,4,0,1,0.73,0.784,0.73,0.71,0.0066,0.011403
Mistral,6,Liqu,1,0,1,0.72,0.822,0.72,0.691,0.0036,0.007024
Mistral,6,Liqu,2,0,1,0.71,0.821,0.71,0.671,0.0094,0.01801
Mistral,6,Liqu,3,0,1,0.63,0.759,0.63,0.572,0.0036,0.009978
Mistral,6,Loc,1,0,1,0.72,0.771,0.72,0.695,0.0086,0.018456
Mistral,6,Loc,2,0,1,0.68,0.7,0.68,0.627,0.0106,0.025865
Mistral,6,Magn,3,0,1,0.65,0.633,0.65,0.604,0.006,0.018938
Mistral,6,Magn,1,0,1,0.55,0.521,0.55,0.466,0.004,0.011967
Mistral,6,Magn,2,0,1,0.5,0.376,0.5,0.384,0.003,0.008996
Mistral,6,Modif_ajout_de_sens,2,0,1,0.56,0.43,0.56,0.451,0.0054,0.020651
Mistral,6,Modif_ajout_de_sens,1,0,1,0.49,0.247,0.49,0.329,0.0004,8.5e-05
Mistral,6,Modif_sens_vide,2,0,1,0.61,0.682,0.61,0.53,0.0044,0.012701
Mistral,6,Modif_sens_vide,1,0,1,0.55,0.663,0.55,0.433,0.001,0.00364
Mistral,6,Modificateur,1,0,1,0.63,0.789,0.63,0.565,0.0036,0.008458
Mistral,6,Mult,1,0,1,0.52,0.524,0.52,0.479,0.0006,0.002336
Mistral,6,Mult,2,0,1,0.49,0.441,0.49,0.403,0.0014,0.004633
Mistral,6,Mult,3,0,1,0.45,0.27,0.45,0.323,0.001,0.000868
Mistral,6,N_dériv_ajout_de_sens,2,0,1,0.52,0.512,0.52,0.493,0.0026,0.005501
Mistral,6,N_dériv_ajout_de_sens,1,0,1,0.35,0.205,0.35,0.258,0.002,0.000604
Mistral,6,N_dériv_circonstancielle,1,0,1,0.59,0.641,0.59,0.557,0.0014,0.005354
Mistral,6,N_dériv_circonstancielle,3,0,1,0.39,0.306,0.39,0.324,0.0034,0.000217
Mistral,6,N_dériv_circonstancielle,2,0,1,0.37,0.268,0.37,0.297,0.0046,0.001197
Mistral,6,Nom_gouverneur,1,0,1,0.7,0.718,0.7,0.651,0.012,0.028247
Mistral,6,Oper1,4,0,1,0.56,0.652,0.56,0.501,0.0004,0.001365
Mistral,6,Oper1,1,0,1,0.53,0.586,0.53,0.495,0.0076,0.004586
Mistral,6,Oper1,2,0,1,0.53,0.579,0.53,0.457,0.0006,0.00277
Mistral,6,Oper1,3,0,1,0.44,0.364,0.44,0.372,0.0014,0.001351
Mistral,6,Oper2,4,0,1,0.58,0.599,0.58,0.515,0.0026,0.009416
Mistral,6,Oper2,3,0,1,0.56,0.553,0.56,0.502,0.0034,0.008413
Mistral,6,Oper2,1,0,1,0.46,0.396,0.46,0.384,0.0014,0.000815
Mistral,6,Oper2,2,0,1,0.45,0.305,0.45,0.333,0.003,0.001374
Mistral,6,Oper_i,1,0,1,0.53,0.496,0.53,0.453,0.0006,0.005359
Mistral,6,Oper_i,2,0,1,0.53,0.575,0.53,0.434,0.0006,0.003002
Mistral,6,Oper_i,3,0,1,0.52,0.481,0.52,0.436,0.0016,0.005968
Mistral,6,Pred,2,0,1,0.61,0.682,0.61,0.532,0.0034,0.010775
Mistral,6,Pred,3,0,1,0.51,0.37,0.51,0.378,0.0004,0.003724
Mistral,6,Pred,1,0,1,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,Qual1,2,0,1,0.62,0.704,0.62,0.575,0.0016,0.005523
Mistral,6,Qual1,4,0,1,0.61,0.701,0.61,0.566,0.0004,0.000675
Mistral,6,Qual1,1,0,1,0.56,0.532,0.56,0.503,0.0014,0.007823
Mistral,6,Qual1,3,0,1,0.56,0.659,0.56,0.497,0.0014,0.001782
Mistral,6,Real1,4,0,1,0.63,0.642,0.63,0.575,0.0046,0.015825
Mistral,6,Real1,2,0,1,0.53,0.49,0.53,0.469,0.0006,0.00531
Mistral,6,Real1,3,0,1,0.52,0.477,0.52,0.455,0.0006,0.004658
Mistral,6,Real1,5,0,1,0.49,0.47,0.49,0.392,0.0014,0.001265
Mistral,6,Real1,1,0,1,0.38,0.255,0.38,0.298,0.0066,0.006241
Mistral,6,Real2,4,0,1,0.51,0.471,0.51,0.465,0.0014,0.007017
Mistral,6,Real2,3,0,1,0.47,0.421,0.47,0.422,0.0006,0.004241
Mistral,6,Real2,5,0,1,0.45,0.451,0.45,0.373,0.003,0.001205
Mistral,6,Real2,2,0,1,0.44,0.374,0.44,0.373,0.0004,0.001198
Mistral,6,Real2,1,0,1,0.41,0.274,0.41,0.313,0.0004,0.000605
Mistral,6,Real3,5,0,1,0.72,0.826,0.72,0.683,0.0106,0.020003
Mistral,6,Real3,3,0,1,0.64,0.694,0.64,0.572,0.0074,0.019166
Mistral,6,Real3,2,0,1,0.62,0.648,0.62,0.558,0.0036,0.012725
Mistral,6,Real3,4,0,1,0.62,0.648,0.62,0.558,0.0036,0.012725
Mistral,6,Real3,1,0,1,0.57,0.598,0.57,0.497,0.0016,0.007241
Mistral,6,Real_i,4,0,1,0.65,0.697,0.65,0.588,0.007,0.01862
Mistral,6,Real_i,2,0,1,0.59,0.651,0.59,0.509,0.0024,0.008486
Mistral,6,Real_i,3,0,1,0.59,0.625,0.59,0.518,0.0024,0.010049
Mistral,6,Real_i,1,0,1,0.58,0.739,0.58,0.499,0.0006,0.001198
Mistral,6,RealΩ,3,0,1,0.57,0.67,0.57,0.466,0.0026,0.008207
Mistral,6,RealΩ,1,0,1,0.56,0.666,0.56,0.45,0.0014,0.004983
Mistral,6,RealΩ,5,0,1,0.56,0.468,0.56,0.44,0.0054,0.017213
Mistral,6,RealΩ,4,0,1,0.55,0.663,0.55,0.433,0.001,0.00364
Mistral,6,RealΩ,2,0,1,0.51,0.403,0.51,0.368,0.0004,0.001909
Mistral,6,Redun,1,0,1,0.7,0.72,0.7,0.676,0.01,0.01844
Mistral,6,Redun,3,0,1,0.66,0.674,0.66,0.604,0.0094,0.024979
Mistral,6,Redun,2,0,1,0.57,0.563,0.57,0.5,0.0016,0.00778
Mistral,6,Result2,2,0,1,0.61,0.715,0.61,0.565,0.0014,0.000994
Mistral,6,Result2,1,0,1,0.56,0.524,0.56,0.508,0.0014,0.008429
Mistral,6,S0,2,0,1,0.63,0.789,0.63,0.564,0.0046,0.009947
Mistral,6,S0,1,0,1,0.62,0.648,0.62,0.558,0.0036,0.012725
Mistral,6,S1,2,0,1,0.63,0.679,0.63,0.559,0.0076,0.020022
Mistral,6,S1,4,0,1,0.57,0.557,0.57,0.507,0.0016,0.007779
Mistral,6,S1,1,0,1,0.54,0.553,0.54,0.444,0.0014,0.005855
Mistral,6,S1,3,0,1,0.48,0.245,0.48,0.324,0.0006,0.000127
Mistral,6,S2,4,0,1,0.53,0.525,0.53,0.46,0.0006,0.005882
Mistral,6,S2,1,0,1,0.52,0.477,0.52,0.461,0.0006,0.00474
Mistral,6,S2,2,0,1,0.46,0.386,0.46,0.373,0.0014,0.001051
Mistral,6,S2,3,0,1,0.44,0.232,0.44,0.303,0.0064,0.001655
Mistral,6,S3,1,0,1,0.67,0.674,0.67,0.622,0.0076,0.021328
Mistral,6,S3,4,0,1,0.56,0.594,0.56,0.478,0.0014,0.005395
Mistral,6,S3,2,0,1,0.51,0.453,0.51,0.382,0.0004,0.001732
Mistral,6,S3,3,0,1,0.48,0.245,0.48,0.324,0.0006,0.000127
Mistral,6,S_i,1,0,1,0.46,0.372,0.46,0.365,0.0004,0.000255
Mistral,6,S_i,2,0,1,0.46,0.384,0.46,0.381,0.0004,0.000897
Mistral,6,S_i,3,0,1,0.45,0.358,0.45,0.377,0.005,0.008973
Mistral,6,Sing,2,0,1,0.59,0.775,0.59,0.506,0.0004,0.001241
Mistral,6,Sing,3,0,1,0.56,0.666,0.56,0.45,0.0014,0.004983
Mistral,6,Sing,1,0,1,0.5,0.3,0.5,0.348,0.0,0.000816
Mistral,6,Sinstr,4,0,1,0.53,0.491,0.53,0.494,0.0016,0.008412
Mistral,6,Sinstr,3,0,1,0.47,0.389,0.47,0.406,0.0026,0.009377
Mistral,6,Sinstr,1,0,1,0.41,0.325,0.41,0.334,0.0014,0.000587
Mistral,6,Sinstr,2,0,1,0.38,0.24,0.38,0.286,0.0016,0.001145
Mistral,6,Sloc,1,0,1,0.62,0.687,0.62,0.543,0.0066,0.016861
Mistral,6,Sloc,2,0,1,0.57,0.669,0.57,0.468,0.0016,0.005704
Mistral,6,Sloc,3,0,1,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,Sloc,4,0,1,0.52,0.455,0.52,0.374,0.0006,0.002517
Mistral,6,Sres,2,0,1,0.61,0.65,0.61,0.568,0.0044,0.008897
Mistral,6,Sres,1,0,1,0.59,0.634,0.59,0.543,0.0024,0.005404
Mistral,6,Sres,3,0,1,0.57,0.569,0.57,0.509,0.0046,0.011816
Mistral,6,Sres,4,0,1,0.48,0.395,0.48,0.367,0.0006,0.00214
Mistral,6,Subst_sens_opposé,1,0,1,0.32,0.308,0.32,0.303,0.0046,0.001612
Mistral,6,Subst_sens_opposé,2,0,1,0.25,0.212,0.25,0.225,0.008,0.0031
Mistral,6,Subst_sens_similaire,1,0,1,0.76,0.813,0.76,0.735,0.0134,0.02496
Mistral,6,Subst_sens_similaire,2,0,1,0.52,0.522,0.52,0.431,0.0006,0.002696
Mistral,6,Substitutive,1,0,1,0.37,0.261,0.37,0.295,0.0056,0.003251
Mistral,6,Syn,1,0,1,0.49,0.447,0.49,0.423,0.0004,0.003145
Mistral,6,Syn,2,0,1,0.47,0.467,0.47,0.439,0.0006,0.000559
Mistral,6,Syn,3,0,1,0.45,0.405,0.45,0.412,0.001,0.003291
Mistral,6,Unité,1,0,1,0.62,0.685,0.62,0.548,0.0036,0.011475
Mistral,6,Unité,2,0,1,0.55,0.663,0.55,0.433,0.001,0.00364
Mistral,6,V0,1,0,1,0.7,0.732,0.7,0.681,0.007,0.011067
Mistral,6,V0,3,0,1,0.67,0.648,0.67,0.628,0.0076,0.022192
Mistral,6,V0,2,0,1,0.61,0.607,0.61,0.563,0.0064,0.01601
Mistral,6,V_collocation_ajout_de_sens,2,0,1,0.6,0.66,0.6,0.522,0.003,0.010564
Mistral,6,V_collocation_ajout_de_sens,1,0,1,0.55,0.67,0.55,0.477,0.003,0.002048
Mistral,6,V_dériv_sens_vide,1,0,1,0.58,0.563,0.58,0.525,0.0046,0.013357
Mistral,6,V_dériv_sens_vide,2,0,1,0.51,0.467,0.51,0.451,0.0014,0.005045
Mistral,6,Ver,1,0,1,0.62,0.685,0.62,0.548,0.0036,0.011475
Mistral,6,Ver,3,0,1,0.62,0.747,0.62,0.563,0.0016,0.005459
Mistral,6,Ver,2,0,1,0.54,0.628,0.54,0.426,0.0004,0.002523
Mistral,6,Verbe_support,1,0,1,0.59,0.665,0.59,0.536,0.0024,0.006853
Mistral,6,Verbe_support,2,0,1,0.53,0.425,0.53,0.402,0.0016,0.007248
Mistral,6,Verbes_causatifs,2,0,1,0.67,0.646,0.67,0.625,0.0116,0.027457
Mistral,6,Verbes_causatifs,3,0,1,0.64,0.72,0.64,0.601,0.0024,0.007354
Mistral,6,Verbes_causatifs,1,0,1,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,Verbes_de_phase,1,0,1,0.59,0.775,0.59,0.506,0.0004,0.001241
Mistral,6,Verbes_de_phase,2,0,1,0.59,0.732,0.59,0.516,0.0014,0.005433
Mistral,6,Verbes_de_phase,3,0,1,0.57,0.603,0.57,0.496,0.0016,0.006813
Mistral,6,Vreal,3,0,1,0.61,0.6,0.61,0.554,0.0044,0.014376
Mistral,6,Vreal,1,0,1,0.6,0.679,0.6,0.553,0.001,0.004042
Mistral,6,Vreal,2,0,1,0.55,0.526,0.55,0.491,0.002,0.007097
Qwen,10,A0,2,0,1,0.8,0.812,0.8,0.798,0.0,0.0
Qwen,10,A0,1,0,1,0.77,0.79,0.77,0.766,0.0006,0.000693
Qwen,10,A1,2,0,1,0.85,0.885,0.85,0.847,0.0,0.0
Qwen,10,A1,1,0,1,0.75,0.775,0.75,0.744,0.0,0.0
Qwen,10,A1,4,0,1,0.7,0.738,0.7,0.688,0.0,0.0
Qwen,10,A1,3,0,1,0.62,0.621,0.62,0.62,0.0006,0.000579
Qwen,10,A2,3,0,1,0.7,0.712,0.7,0.697,0.002,0.00181
Qwen,10,A2,2,0,1,0.61,0.635,0.61,0.592,0.0004,0.0003
Qwen,10,A2,4,0,1,0.6,0.604,0.6,0.596,0.0,0.0
Qwen,10,A2,1,0,1,0.42,0.407,0.42,0.4,0.0006,0.000933
Qwen,10,A_dériv_ajout_de_sens,2,0,1,0.75,0.775,0.75,0.744,0.0,0.0
Qwen,10,A_dériv_ajout_de_sens,1,0,1,0.45,0.449,0.45,0.449,0.0,0.0
Qwen,10,A_dériv_qualificative,3,0,1,0.9,0.9,0.9,0.9,0.0,0.0
Qwen,10,A_dériv_qualificative,1,0,1,0.84,0.843,0.84,0.84,0.0004,0.000394
Qwen,10,A_dériv_qualificative,2,0,1,0.54,0.546,0.54,0.527,0.0014,0.001362
Qwen,10,A_i,3,0,1,0.54,0.553,0.54,0.506,0.0004,0.000772
Qwen,10,A_i,2,0,1,0.48,0.473,0.48,0.436,0.0006,0.000332
Qwen,10,A_i,1,0,1,0.44,0.439,0.44,0.438,0.0004,0.000478
Qwen,10,Able1,3,0,1,0.72,0.791,0.72,0.702,0.0006,0.000677
Qwen,10,Able1,5,0,1,0.68,0.688,0.68,0.676,0.0006,0.000782
Qwen,10,Able1,4,0,1,0.6,0.656,0.6,0.56,0.0,0.0
Qwen,10,Able1,2,0,1,0.51,0.511,0.51,0.491,0.0004,0.000585
Qwen,10,Able1,1,0,1,0.44,0.439,0.44,0.438,0.0004,0.000478
Qwen,10,Able2,5,0,1,0.9,0.9,0.9,0.9,0.0,0.0
Qwen,10,Able2,4,0,1,0.85,0.854,0.85,0.85,0.0,0.0
Qwen,10,Able2,2,0,1,0.84,0.858,0.84,0.838,0.0004,0.000404
Qwen,10,Able2,1,0,1,0.79,0.791,0.79,0.79,0.0004,0.00041
Qwen,10,Able2,3,0,1,0.74,0.748,0.74,0.738,0.0004,0.000422
Qwen,10,Able_i,3,0,1,0.85,0.885,0.85,0.847,0.0,0.0
Qwen,10,Able_i,1,0,1,0.8,0.812,0.8,0.798,0.0,0.0
Qwen,10,Able_i,2,0,1,0.76,0.765,0.76,0.759,0.0004,0.000378
Qwen,10,Able_i,4,0,1,0.75,0.753,0.75,0.749,0.0,0.0
Qwen,10,Adv0,2,0,1,0.8,0.857,0.8,0.792,0.0,0.0
Qwen,10,Adv0,1,0,1,0.7,0.7,0.7,0.7,0.0,0.0
Qwen,10,Adv1,2,0,1,0.83,0.837,0.83,0.829,0.0006,0.00064
Qwen,10,Adv1,1,0,1,0.59,0.597,0.59,0.585,0.0034,0.003204
Qwen,10,Anti,2,0,1,0.95,0.955,0.95,0.95,0.0,0.0
Qwen,10,Anti,3,0,1,0.87,0.872,0.87,0.87,0.0006,0.000609
Qwen,10,Anti,1,0,1,0.86,0.86,0.86,0.86,0.0024,0.0024
Qwen,10,Bon,3,0,1,0.84,0.879,0.84,0.836,0.0004,0.000482
Qwen,10,Bon,1,0,1,0.77,0.808,0.77,0.763,0.0006,0.00054
Qwen,10,Bon,2,0,1,0.63,0.632,0.63,0.629,0.0006,0.000629
Qwen,10,Cap,1,0,1,0.88,0.904,0.88,0.878,0.0006,0.00066
Qwen,10,Cap,2,0,1,0.82,0.868,0.82,0.814,0.0006,0.000723
Qwen,10,Cap,3,0,1,0.8,0.857,0.8,0.792,0.0,0.0
Qwen,10,Caus,4,0,1,0.67,0.682,0.67,0.663,0.0016,0.00205
Qwen,10,Caus,2,0,1,0.62,0.634,0.62,0.603,0.0046,0.006365
Qwen,10,Caus,1,0,1,0.58,0.598,0.58,0.558,0.0006,0.000963
Qwen,10,Caus,3,0,1,0.52,0.529,0.52,0.495,0.0016,0.00109
Qwen,10,Colloc_préposition,1,0,1,0.85,0.885,0.85,0.847,0.0,0.0
Qwen,10,Collocation_verbale,1,0,1,0.93,0.939,0.93,0.93,0.0006,0.000621
Qwen,10,Contr,3,0,1,0.85,0.854,0.85,0.85,0.0,0.0
Qwen,10,Contr,2,0,1,0.8,0.8,0.8,0.8,0.0,0.0
Qwen,10,Contr,1,0,1,0.66,0.661,0.66,0.659,0.0004,0.000414
Qwen,10,Conv-ij,3,0,1,0.78,0.848,0.78,0.768,0.0006,0.000817
Qwen,10,Conv-ij,2,0,1,0.68,0.806,0.68,0.64,0.0026,0.005112
Qwen,10,Conv-ij,1,0,1,0.58,0.581,0.58,0.569,0.0066,0.008116
Qwen,10,Dérivation_adjectivale,1,0,1,1.0,1.0,1.0,1.0,0.0,0.0
Qwen,10,Dérivation_adverbiale,1,0,1,0.95,0.955,0.95,0.95,0.0,0.0
Qwen,10,Dérivation_nominale,1,0,1,0.67,0.701,0.67,0.657,0.0006,0.000647
Qwen,10,Dérivation_verbale,1,0,1,0.72,0.821,0.72,0.696,0.0006,0.000953
Qwen,10,Epit,1,0,1,0.98,0.982,0.98,0.98,0.0006,0.000603
Qwen,10,Epit,3,0,1,0.84,0.845,0.84,0.839,0.0004,0.000427
Qwen,10,Epit,2,0,1,0.79,0.801,0.79,0.788,0.0004,0.000378
Qwen,10,Equip,2,0,1,0.86,0.863,0.86,0.86,0.0004,0.000406
Qwen,10,Equip,3,0,1,0.86,0.866,0.86,0.859,0.0004,0.00039
Qwen,10,Equip,1,0,1,0.85,0.885,0.85,0.847,0.0,0.0
Qwen,10,Fact0,5,0,1,0.76,0.838,0.76,0.745,0.0004,0.000544
Qwen,10,Fact0,2,0,1,0.66,0.764,0.66,0.624,0.0004,0.001121
Qwen,10,Fact0,1,0,1,0.65,0.7,0.65,0.627,0.0,0.0
Qwen,10,Fact0,3,0,1,0.56,0.634,0.56,0.495,0.0004,0.000215
Qwen,10,Fact0,4,0,1,0.55,0.567,0.55,0.52,0.0,0.0
Qwen,10,Fact1,4,0,1,0.7,0.738,0.7,0.688,0.0,0.0
Qwen,10,Fact1,3,0,1,0.67,0.745,0.67,0.644,0.0006,0.000458
Qwen,10,Fact1,5,0,1,0.65,0.665,0.65,0.642,0.0,0.0
Qwen,10,Fact1,1,0,1,0.61,0.628,0.61,0.595,0.0004,0.00055
Qwen,10,Fact1,2,0,1,0.55,0.555,0.55,0.54,0.0,0.0
Qwen,10,Fact2,5,0,1,0.64,0.684,0.64,0.618,0.0004,0.0003
Qwen,10,Fact2,4,0,1,0.61,0.665,0.61,0.574,0.0004,0.000702
Qwen,10,Fact2,3,0,1,0.55,0.567,0.55,0.52,0.0,0.0
Qwen,10,Fact2,2,0,1,0.51,0.511,0.51,0.491,0.0004,0.000585
Qwen,10,Fact2,1,0,1,0.46,0.456,0.46,0.449,0.0004,0.000531
Qwen,10,Fact_i,4,0,1,0.65,0.652,0.65,0.649,0.0,0.0
Qwen,10,Fact_i,2,0,1,0.64,0.691,0.64,0.613,0.0004,0.000702
Qwen,10,Fact_i,1,0,1,0.58,0.584,0.58,0.573,0.0006,0.000761
Qwen,10,Fact_i,3,0,1,0.55,0.551,0.55,0.547,0.0,1.4e-05
Qwen,10,Fin,4,0,1,0.92,0.922,0.92,0.92,0.0006,0.000597
Qwen,10,Fin,2,0,1,0.9,0.917,0.9,0.899,0.0,0.0
Qwen,10,Fin,3,0,1,0.85,0.885,0.85,0.847,0.0,0.0
Qwen,10,Fin,1,0,1,0.8,0.857,0.8,0.792,0.0,0.0
Qwen,10,Func0,3,0,1,0.74,0.829,0.74,0.721,0.0004,0.000635
Qwen,10,Func0,1,0,1,0.71,0.817,0.71,0.683,0.0004,0.000635
Qwen,10,Func0,4,0,1,0.7,0.738,0.7,0.687,0.001,0.001383
Qwen,10,Func0,2,0,1,0.66,0.798,0.66,0.615,0.0004,0.000766
Qwen,10,Func2,2,0,1,0.63,0.675,0.63,0.603,0.0006,0.001252
Qwen,10,Func2,3,0,1,0.59,0.653,0.59,0.552,0.0024,0.001587
Qwen,10,Func2,4,0,1,0.59,0.606,0.59,0.575,0.0004,0.000305
Qwen,10,Func2,1,0,1,0.55,0.598,0.55,0.487,0.0,0.0
Qwen,10,Func_i,2,0,1,0.73,0.825,0.73,0.708,0.0006,0.000953
Qwen,10,Func_i,3,0,1,0.7,0.738,0.7,0.688,0.0,0.0
Qwen,10,Func_i,1,0,1,0.69,0.809,0.69,0.656,0.0004,0.000766
Qwen,10,Gener,3,0,1,0.8,0.812,0.8,0.798,0.0,0.0
Qwen,10,Gener,1,0,1,0.75,0.775,0.75,0.744,0.0,0.0
Qwen,10,Gener,2,0,1,0.7,0.708,0.7,0.697,0.0,0.0
Qwen,10,Groupe,1,0,1,0.9,0.9,0.9,0.9,0.0,0.0
Qwen,10,Groupe,2,0,1,0.9,0.917,0.9,0.899,0.0,0.0
Qwen,10,Incep,2,0,1,0.9,0.917,0.9,0.899,0.0,0.0
Qwen,10,Incep,3,0,1,0.88,0.881,0.88,0.88,0.0006,0.000609
Qwen,10,Incep,4,0,1,0.88,0.881,0.88,0.88,0.0006,0.000609
Qwen,10,Incep,1,0,1,0.82,0.835,0.82,0.818,0.0006,0.000603
Qwen,10,Instr,1,0,1,0.85,0.885,0.85,0.847,0.0,0.0
Qwen,10,Instr,2,0,1,0.85,0.885,0.85,0.847,0.0,0.0
Qwen,10,Labreal12,4,0,1,0.95,0.955,0.95,0.95,0.0,0.0
Qwen,10,Labreal12,1,0,1,0.94,0.944,0.94,0.94,0.0004,0.000398
Qwen,10,Labreal12,2,0,1,0.94,0.944,0.94,0.94,0.0004,0.000398
Qwen,10,Labreal12,3,0,1,0.89,0.913,0.89,0.888,0.0024,0.002562
Qwen,10,Liqu,1,0,1,0.9,0.917,0.9,0.899,0.0,0.0
Qwen,10,Liqu,3,0,1,0.85,0.854,0.85,0.85,0.0,0.0
Qwen,10,Liqu,4,0,1,0.85,0.885,0.85,0.847,0.0,0.0
Qwen,10,Liqu,2,0,1,0.8,0.857,0.8,0.792,0.0,0.0
Qwen,10,Loc,2,0,1,0.9,0.902,0.9,0.9,0.001,0.001005
